RegionName,2018 Total Sales ,2019 Total Sales ,2020 Total Sales,2021 Total Sales,DIF 1819,DIF1920,DIF2021
United States,4834280,4832545,5060284,5260503,-1735,227739,200219
"New York, NY",189070,185888,188403,225657,-3182,2515,37254
"Los Angeles-Long Beach-Anaheim, CA",104455,102298,98907,115238,-2157,-3391,16331
"Chicago, IL",140213,129054,144648,149346,-11159,15594,4698
"Dallas-Fort Worth, TX",101724,102954,111576,107516,1230,8622,-4060
"Philadelphia, PA",86888,88817,92148,113564,1929,3331,21416
"Houston, TX",86701,88218,96820,107623,1517,8602,10803
"Washington, DC",101131,104020,109757,122359,2889,5737,12602
"Miami-Fort Lauderdale, FL",108702,105561,103918,135959,-3141,-1643,32041
"Atlanta, GA",131816,129807,129700,128442,-2009,-107,-1258
"Boston, MA",64769,64623,66346,66686,-146,1723,340
"San Francisco, CA",44466,42476,43217,52455,-1990,741,9238
"Detroit, MI",71451,69986,71612,79542,-1465,1626,7930
"Riverside, CA",71961,69765,72998,76270,-2196,3233,3272
"Phoenix, AZ",110092,113019,110255,106875,2927,-2764,-3380
"Seattle, WA",71138,69401,70268,70980,-1737,867,712
"Minneapolis-St Paul, MN",68803,68396,73307,71940,-407,4911,-1367
"San Diego, CA",37027,36017,38201,40208,-1010,2184,2007
"St. Louis, MO",46736,45536,48798,48605,-1200,3262,-193
"Tampa, FL",73822,76429,76318,79457,2607,-111,3139
"Baltimore, MD",43262,44728,52894,67340,1466,8166,14446
"Denver, CO",60943,61577,62668,59650,634,1091,-3018
"Pittsburgh, PA",33386,32538,31995,32521,-848,-543,526
"Portland, OR",43311,43848,47357,50356,537,3509,2999
"Charlotte, NC",61586,62768,61099,57844,1182,-1669,-3255
"Sacramento, CA",36976,35164,38292,38750,-1812,3128,458
"San Antonio, TX",33200,34642,38123,38756,1442,3481,633
"Orlando, FL",55549,56181,49627,56428,632,-6554,6801
"Cincinnati, OH",35018,33836,33016,33410,-1182,-820,394
"Cleveland, OH",27156,25942,26566,28962,-1214,624,2396
"Kansas City, MO",37414,37147,39573,37796,-267,2426,-1777
"Las Vegas, NV",49235,46980,45605,48292,-2255,-1375,2687
"Columbus, OH",28907,28951,28640,25574,44,-311,-3066
"Indianapolis, IN",37801,38285,40815,37230,484,2530,-3585
"San Jose, CA",15661,14615,14836,20160,-1046,221,5324
"Austin, TX",33189,34373,36763,37085,1184,2390,322
"Virginia Beach, VA",28798,30987,35478,32815,2189,4491,-2663
"Nashville, TN",51799,54756,57058,50497,2957,2302,-6561
"Providence, RI",20961,21510,23029,21863,549,1519,-1166
"Milwaukee, WI",18250,15826,16850,17651,-2424,1024,801
"Jacksonville, FL",35276,37515,42364,40650,2239,4849,-1714
"Memphis, TN",20530,20695,21181,18958,165,486,-2223
"Oklahoma City, OK",24100,26722,28089,28200,2622,1367,111
"Louisville-Jefferson County, KY",23650,23189,23408,23172,-461,219,-236
"Hartford, CT",15716,16449,19758,20028,733,3309,270
"Richmond, VA",24426,25358,26202,26487,932,844,285
"New Orleans, LA",12985,12734,12989,11953,-251,255,-1036
"Buffalo, NY",12753,12173,11680,12740,-580,-493,1060
"Raleigh, NC",32148,33981,35877,30272,1833,1896,-5605
"Birmingham, AL",20708,20482,21661,21632,-226,1179,-29
"Salt Lake City, UT",18230,17784,18506,17240,-446,722,-1266
"Rochester, NY",14508,14269,13543,13564,-239,-726,21
"Grand Rapids, MI",20447,21022,21553,20288,575,531,-1265
"Tucson, AZ",19392,20350,21422,22906,958,1072,1484
"Urban Honolulu, HI",9302,10023,8534,4976,721,-1489,-3558
"Tulsa, OK",16990,18072,18815,19175,1082,743,360
"Fresno, CA",11785,11197,11378,5539,-588,181,-5839
"Worcester, MA",13314,13542,14501,13898,228,959,-603
"Stamford, CT",11994,12297,16820,16912,303,4523,92
"Albuquerque, NM",13089,13499,14303,13365,410,804,-938
"Albany, NY",7614,6378,6273,2721,-1236,-105,-3552
"Omaha, NE",16408,14887,15829,12718,-1521,942,-3111
"New Haven, CT",10137,10500,12576,12932,363,2076,356
"Bakersfield, CA",12061,11425,12001,9711,-636,576,-2290
"Knoxville, TN",18771,19074,19870,17367,303,796,-2503
"Greenville, SC",17012,17886,18803,19297,874,917,494
"Ventura, CA",8985,9090,9211,10321,105,121,1110
"Allentown, PA",12518,13067,13272,12961,549,205,-311
"El Paso, TX",9079,9170,9051,3499,91,-119,-5552
"Baton Rouge, LA",11982,12176,13694,13333,194,1518,-361
"Dayton, OH",12161,11463,11520,12642,-698,57,1122
"McAllen, TX",3059,3537,3886,2463,478,349,-1423
"Columbia, SC",14989,15595,15905,16976,606,310,1071
"Greensboro, NC",11360,11612,11933,5587,252,321,-6346
"Akron, OH",9468,8972,9099,5097,-496,127,-4002
"North Port-Sarasota-Bradenton, FL",27108,27335,28764,32674,227,1429,3910
"Little Rock, AR",12421,12522,13892,12685,101,1370,-1207
"Stockton, CA",9079,9150,9610,9119,71,460,-491
"Charleston, SC",19881,21149,22058,23659,1268,909,1601
"Syracuse, NY",8062,7974,8023,5178,-88,49,-2845
"Colorado Springs, CO",19841,19958,20907,19591,117,949,-1316
"Winston-Salem, NC",11010,10980,11687,4673,-30,707,-7014
"Wichita, KS",4989,4379,4100,1287,-610,-279,-2813
"Springfield, MA",7053,7252,7494,7790,199,242,296
"Fort Myers, FL",25135,25431,27963,38503,296,2532,10540
"Boise City, ID",18096,16564,17872,15743,-1532,1308,-2129
"Toledo, OH",6134,5500,5614,2184,-634,114,-3430
"Madison, WI",10439,9511,10130,8635,-928,619,-1495
"Lakeland, FL",14970,16902,15385,14157,1932,-1517,-1228
"Ogden, UT",10396,10477,10981,4473,81,504,-6508
"Daytona Beach, FL",18523,18023,19234,21443,-500,1211,2209
"Des Moines, IA",14958,14020,16547,15723,-938,2527,-824
"Provo, UT",8355,8656,9590,4122,301,934,-5468
"Durham, NC",11661,12019,10982,10975,358,-1037,-7
"Fort Collins, CO",8000,8011,9215,6421,11,1204,-2794
